Epoch, Bimodal, Spiral, Weather, Student
10,    0.5000, 0.5000, 0.5786, 0.5000
1000,  0.9057, 0.8973, 0.6286, 0.8154
2000,  0.9173, 0.8759, 0.6429, 0.7897
3000,  0.9236, 0.9150, 0.6214, 0.7795
4000,  0.9223, 0.8836, 0.6286, 0.7821
5000,  0.9275, 0.9032, 0.6786, 0.7769
6000,  0.9239, 0.8968, 0.7000, 0.7769
7000,  0.5475, 0.8964, 0.6429, 0.7538
8000,  NA    , 0.8736, 0.6500, 0.7667
9000,  NA    , 0.8927, 0.6500, 0.7667
10000, NA    , 0.8873, 0.6786, 0.7692

20000, 0.5000, NA    , 0.6571, 0.7667,
30000, 0.5000, NA    , 0.5929, 0.7513,
40000, 0.5000, 0.8686, 0.6571, 0.7436,
50000, 0.5000, 0.9036, 0.6786, 0.7513,
