A B C D classA classB classC classD
20.306987 -2.457855 2.119416 2.647685 1 0 0 0
15.457316 3.635912 3.825682 8.725107 1 0 0 0
20.697806 9.82386 7.574467 9.156988 1 0 0 0
-18.312745 15.132402 10.651183 16.829485 1 0 0 0
17.771679 -5.44921 3.090297 5.519512 1 0 0 0
23.06625 -2.11103 4.32139 -3.71931 1 0 0 0
9.679184 1.665438 3.943598 6.380617 1 0 0 0
14.736508 9.320005 6.848915 9.438772 1 0 0 0
-10.971698 18.54634 5.534294 17.096986 1 0 0 0
7.240276 10.364507 12.47793 13.332036 1 0 0 0
12.873341 -6.435127 -0.800501 -0.517565 1 0 0 0
4.5128 11.472572 8.384495 12.662578 1 0 0 0
25.723122 8.106863 7.122901 16.2207 1 0 0 0
14.334783 3.788964 5.277394 13.139835 1 0 0 0
5.386228 9.368223 7.22194 11.510871 1 0 0 0
-4.905643 12.712247 7.658131 9.480454 1 0 0 0
6.992159 13.922706 11.277995 11.66933 1 0 0 0
-0.915112 16.541251 13.32669 22.235302 1 0 0 0
29.607768 8.999514 5.141489 -9.084621 1 0 0 0
25.621089 9.111914 11.172065 2.741406 1 0 0 0
-3.242733 7.400358 10.986609 24.368756 1 0 0 0
16.524906 -3.343558 0.697936 11.248286 1 0 0 0
-6.201557 11.099216 10.670677 31.052544 1 0 0 0
16.242267 -2.472101 4.564667 0.206593 1 0 0 0
10.986447 3.122343 13.630871 19.438146 1 0 0 0
13.911083 4.582284 6.094107 18.374288 1 0 0 0
21.070788 5.928453 0.80032 11.512962 1 0 0 0
6.703872 4.195667 7.981275 -1.814409 1 0 0 0
1.289884 3.35108 10.152984 8.211927 1 0 0 0
13.55271 -4.073325 6.75535 15.633588 1 0 0 0
36.159719 2.285388 1.625311 1.119847 1 0 0 0
-4.346487 11.613093 10.757524 22.974886 1 0 0 0
12.894 1.304699 6.305138 10.927411 1 0 0 0
2.879069 1.715234 4.961479 9.889877 1 0 0 0
-0.732572 13.644689 13.69281 14.200026 1 0 0 0
25.316566 -5.069769 2.292062 1.13774 1 0 0 0
25.469499 -1.022796 2.694607 5.558935 1 0 0 0
-14.591392 12.147604 11.754659 15.418069 1 0 0 0
30.848378 -0.321722 2.703048 5.089709 1 0 0 0
17.515277 -3.638245 9.039172 27.818271 1 0 0 0
-8.02337 21.029863 11.362128 22.668628 1 0 0 0
22.167339 -6.430583 7.38801 1.281682 1 0 0 0
-7.166748 12.027591 8.978262 20.421449 1 0 0 0
-2.091356 -0.589841 6.453141 15.210664 1 0 0 0
13.768054 9.14089 10.733489 3.962188 1 0 0 0
31.092617 -8.341291 -0.037879 -8.482252 1 0 0 0
39.712024 2.036329 3.141991 2.046658 1 0 0 0
13.208835 3.1834 7.357058 21.307637 1 0 0 0
7.077228 8.886521 4.177869 18.582112 1 0 0 0
26.524603 3.710182 3.145119 4.823664 1 0 0 0
-69.174017 -49.880214 -59.236417 -50.540951 1 0 0 0
-64.776284 -53.557165 -53.458259 -53.128233 1 0 0 0
-71.024436 -55.814483 -58.969642 -65.186196 1 0 0 0
-58.318643 -54.48212 -59.803948 -64.352144 1 0 0 0
-56.544621 -49.026835 -55.406016 -49.711504 1 0 0 0
-77.751698 -49.120165 -60.017508 -62.007172 1 0 0 0
-65.979727 -48.977786 -53.456152 -60.511363 1 0 0 0
-55.380799 -56.09793 -58.016579 -53.131589 1 0 0 0
-53.755568 -57.12685 -58.691727 -63.34204 1 0 0 0
-50.340241 -60.251403 -62.527943 -71.598525 1 0 0 0
-56.99363 -49.293244 -52.723116 -67.738992 1 0 0 0
-60.273648 -60.789969 -54.482987 -65.838013 1 0 0 0
-50.016878 -53.107371 -51.620397 -56.846332 1 0 0 0
-60.417646 -63.639552 -56.253103 -55.418403 1 0 0 0
-70.119604 -54.595999 -51.556036 -43.347443 1 0 0 0
-67.061142 -45.662786 -54.29981 -56.664023 1 0 0 0
-49.942353 -41.960194 -51.733419 -61.639869 1 0 0 0
-66.07442 -53.916611 -50.674365 -54.426359 1 0 0 0
-62.563524 -50.723346 -56.002521 -54.664979 1 0 0 0
-49.411415 -50.278161 -58.529989 -59.014063 1 0 0 0
-42.220709 -63.405472 -63.810817 -59.059847 1 0 0 0
-53.394501 -60.807355 -59.483877 -71.227588 1 0 0 0
-74.838685 -38.429327 -50.265049 -43.86183 1 0 0 0
-48.155903 -64.119258 -61.704122 -86.37771 1 0 0 0
-78.658273 -51.171627 -55.355491 -49.245391 1 0 0 0
-79.119246 -48.371444 -49.391298 -42.951247 1 0 0 0
