A B C D classA classB
1.538 -0.715 1.694 0.077 1 0
1.723 0.12 1.688 -0.367 1 0
1.307 -1.177 1.672 0.545 1 0
1.697 0.57 1.007 1.48 1 0
1.798 0.294 1.54 0.972 1 0
1.48 1.115 1.776 0.527 1 0
1.881 -0.119 1.207 1.447 1 0
1.184 1.506 1.122 1.553 1 0
0.159 1.941 1.863 0.566 1 0
1.901 0.547 1.714 0.989 1 0
0.945 1.774 1.598 1.22 1 0
-0.368 2.008 1.933 0.656 1 0
0.942 1.846 1.041 1.792 1 0
1.234 1.705 2.102 0.088 1 0
1.401 1.612 1.738 1.242 1 0
0.896 1.973 1.88 1.077 1 0
0.767 2.06 1.737 1.347 1 0
-0.763 2.095 1.122 1.927 1 0
-0.048 2.261 0.147 2.257 1 0
1.248 1.924 -0.017 2.293 1 0
-0.145 2.32 -1.093 2.051 1 0
0.809 2.212 0.115 2.353 1 0
1.148 2.093 1.884 1.465 1 0
1.065 2.171 2.278 0.812 1 0
1.008 2.233 0.795 2.317 1 0
0.78 2.355 -0.732 2.371 1 0
0.2 2.505 -0.785 2.387 1 0
0.584 2.476 -0.126 2.541 1 0
-1.837 1.805 0.703 2.478 1 0
1.577 2.076 -0.528 2.553 1 0
1.727 1.995 0.088 2.637 1 0
-1.026 2.465 -1.337 2.311 1 0
0.428 2.667 -1.878 1.941 1 0
-2.698 0.432 -0.167 2.727 1 0
-0.513 2.716 -2.163 1.72 1 0
-0.517 2.747 0.4 2.767 1 0
-0.531 2.776 0.748 2.726 1 0
-2.858 -0.023 -0.944 2.698 1 0
0.9 2.746 -2.869 -0.342 1 0
-2.814 0.785 -2.699 1.117 1 0
-2.491 1.584 -1.134 2.726 1 0
-2.981 -0.14 -2.933 0.548 1 0
-1.999 2.258 -1.926 2.32 1 0
-2.992 -0.574 -1.451 2.679 1 0
-2.309 2.035 -3.052 0.402 1 0
-2.521 1.821 -2.734 -1.481 1 0
-3.049 0.754 -3.087 0.579 1 0
-3.086 0.736 -3.001 1.03 1 0
-3.093 0.835 -2.997 1.132 1 0
-1.612 2.805 -3.053 -1.07 1 0
-3.195 0.679 -3.207 -0.621 1 0
-2.947 -1.481 -3.092 1.147 1 0
-2.343 2.365 -3.268 -0.638 1 0
-3.228 -0.935 -1.638 -2.935 1 0
-3.277 -0.875 -3.37 0.391 1 0
-3.414 0.262 -2.674 -2.138 1 0
-3.454 -0.086 -3.453 -0.111 1 0
-3.401 -0.767 -3.414 0.706 1 0
-0.158 -3.514 -2.617 -2.351 1 0
-3.491 -0.638 -1.821 -3.046 1 0
-3.458 -0.93 -3.423 -1.052 1 0
0.97 -3.48 -3.512 0.843 1 0
-2.271 -2.849 0.081 -3.643 1 0
-3.675 -0.019 -1.338 -3.423 1 0
-1.451 -3.411 -3.688 -0.373 1 0
-2.843 -2.427 1.369 -3.478 1 0
-1.219 -3.567 -3.029 -2.243 1 0
-2.954 -2.392 -2.318 -3.012 1 0
-0.102 -3.831 -2.087 -3.214 1 0
-2.648 -2.813 -0.053 -3.863 1 0
-1.679 -3.515 -3.083 -2.381 1 0
-1.037 -3.787 -0.636 -3.874 1 0
-0.741 -3.888 1.578 -3.629 1 0
2.376 -3.205 1.2 -3.804 1 0
1.256 -3.819 2.872 -2.813 1 0
0.969 -3.934 3.514 -2.018 1 0
2.117 -3.492 0.113 -4.082 1 0
-0.009 -4.115 3.019 -2.796 1 0
-2.379 -3.396 1.895 -3.688 1 0
1.214 -3.997 -1.596 -3.861 1 0
1.821 -3.795 -3.04 -2.911 1 0
1.988 -3.745 0.454 -4.216 1 0
2.731 -3.285 2.407 -3.529 1 0
2.915 -3.166 3.204 -2.873 1 0
