A, B, C, D, Label
 +1.538,  -0.715,  +1.694,   0.077, classA
 +1.723,   0.120,  +1.688,  -0.367, classA
 +1.307,  -1.177,  +1.672,   0.545, classA
 +1.697,   0.570,  +1.007,   1.480, classA
 +1.798,   0.294,  +1.540,   0.972, classA
 +1.480,   1.115,  +1.776,   0.527, classA
 +1.881,  -0.119,  +1.207,   1.447, classA
 +1.184,   1.506,  +1.122,   1.553, classA
 +0.159,   1.941,  +1.863,   0.566, classA
 +1.901,   0.547,  +1.714,   0.989, classA
 +0.945,   1.774,  +1.598,   1.220, classA
 -0.368,   2.008,  +1.933,   0.656, classA
 +0.942,   1.846,  +1.041,   1.792, classA
 +1.234,   1.705,  +2.102,   0.088, classA
 +1.401,   1.612,  +1.738,   1.242, classA
 +0.896,   1.973,  +1.880,   1.077, classA
 +0.767,   2.060,  +1.737,   1.347, classA
 -0.763,   2.095,  +1.122,   1.927, classA
 -0.048,   2.261,  +0.147,   2.257, classA
 +1.248,   1.924,  -0.017,   2.293, classA
 -0.145,   2.320,  -1.093,   2.051, classA
 +0.809,   2.212,  +0.115,   2.353, classA
 +1.148,   2.093,  +1.884,   1.465, classA
 +1.065,   2.171,  +2.278,   0.812, classA
 +1.008,   2.233,  +0.795,   2.317, classA
 +0.780,   2.355,  -0.732,   2.371, classA
 +0.200,   2.505,  -0.785,   2.387, classA
 +0.584,   2.476,  -0.126,   2.541, classA
 -1.837,   1.805,  +0.703,   2.478, classA
 +1.577,   2.076,  -0.528,   2.553, classA
 +1.727,   1.995,  +0.088,   2.637, classA
 -1.026,   2.465,  -1.337,   2.311, classA
 +0.428,   2.667,  -1.878,   1.941, classA
 -2.698,   0.432,  -0.167,   2.727, classA
 -0.513,   2.716,  -2.163,   1.720, classA
 -0.517,   2.747,  +0.400,   2.767, classA
 -0.531,   2.776,  +0.748,   2.726, classA
 -2.858,  -0.023,  -0.944,   2.698, classA
 +0.900,   2.746,  -2.869,  -0.342, classA
 -2.814,   0.785,  -2.699,   1.117, classA
 -2.491,   1.584,  -1.134,   2.726, classA
