sex age failures free_time goout day_time_alch consume_alch
F 18 0 3 4 1 6 1
F 17 0 3 3 1 4 1
F 15 3 3 2 2 10 3
F 15 0 2 2 1 2 1
F 16 0 3 2 1 4 2
M 16 0 4 2 1 10 2
M 16 0 4 4 1 0 1
F 17 0 1 4 1 6 1
M 15 0 2 2 1 0 1
M 15 0 5 1 1 0 1
F 15 0 3 3 1 0 2
F 15 0 2 2 1 4 1
M 15 0 3 3 1 2 3
M 15 0 4 3 1 2 2
M 15 0 5 2 1 0 1
F 16 0 4 4 1 4 2
F 16 0 2 3 1 6 2
F 16 0 3 2 1 4 1
M 17 3 5 5 2 16 4
M 16 0 1 3 1 4 3
M 15 0 4 1 1 0 1
M 15 0 4 2 1 0 1
M 16 0 5 1 1 2 3
M 16 0 4 4 2 0 4
F 15 0 3 2 1 2 1
F 16 2 2 2 1 14 3
M 15 0 2 2 1 2 2
M 15 0 2 4 2 4 4
M 16 0 3 3 1 4 1
M 16 0 4 5 5 16 5
M 15 0 4 2 3 0 4
M 15 0 3 1 1 0 1
M 15 0 5 2 1 0 1
M 15 0 3 2 1 0 1
M 16 0 4 3 1 0 1
F 15 0 5 1 1 0 1
M 15 0 4 3 1 2 1
M 16 0 4 3 1 7 1
F 15 0 3 2 1 2 1
F 15 0 3 1 1 8 1
F 16 1 3 3 1 25 2
M 15 0 4 3 2 8 4
M 15 0 3 3 1 2 1
M 15 0 4 1 1 0 1
F 16 1 3 3 2 14 2
F 15 0 2 2 1 8 1
F 16 0 3 5 1 12 4
M 16 0 2 2 1 4 1
M 15 0 3 3 2 2 2
F 15 1 4 4 1 2 1
F 16 0 3 3 2 2 3
F 15 0 3 3 1 2 1
M 15 1 5 5 3 6 4
F 15 0 3 4 2 0 3
F 15 0 3 4 4 6 4
F 16 0 3 4 1 8 1
F 15 0 3 2 1 0 1
M 15 0 2 2 1 4 1
M 15 0 3 2 1 2 1
F 16 0 2 3 1 2 1
F 16 0 4 4 2 6 3
F 16 0 5 5 5 6 5
F 16 0 4 3 1 4 1
F 16 0 4 4 2 2 4
F 15 0 4 4 2 0 4
F 16 0 4 3 1 2 2
M 15 0 3 3 5 4 5
F 16 0 3 3 1 4 2
F 15 0 1 3 1 2 3
F 15 0 4 2 2 12 3
M 16 0 3 2 1 0 1
M 15 0 3 3 1 0 1
F 15 2 3 4 2 2 4
M 16 0 3 2 2 2 2
F 16 0 3 3 2 54 4
M 15 0 3 3 2 6 3
M 15 0 4 3 1 8 1
F 16 0 2 3 1 0 3
M 17 3 5 1 1 2 1
F 16 0 4 3 1 12 2
M 15 0 2 2 1 2 3
M 15 0 3 2 1 4 2
F 15 0 4 4 1 10 1
M 15 0 3 3 1 4 3
F 15 0 3 2 2 2 3
F 15 2 4 4 2 6 3
F 16 0 3 4 1 4 2
F 15 0 3 3 1 4 3
M 16 1 4 2 1 12 1
M 16 0 1 3 3 18 5
F 16 0 3 3 1 0 3
F 15 0 5 5 1 4 3
F 16 0 3 3 2 4 3
F 16 0 3 3 1 0 1
M 15 0 3 4 1 6 1
F 15 1 1 2 1 2 1
M 16 0 3 3 1 2 1
F 16 0 3 5 1 2 1
F 16 0 3 4 1 6 2
F 16 0 3 5 1 0 1
M 16 0 5 5 5 14 5
M 16 0 4 3 1 0 1
M 15 0 3 3 1 4 1
F 15 0 3 5 1 26 1
M 15 0 4 4 1 0 1
F 15 0 3 3 1 10 1
F 15 0 1 2 1 8 1
M 16 0 3 3 1 2 1
M 15 0 3 5 3 6 5
F 16 0 4 5 1 4 1
M 15 0 5 3 1 6 1
F 16 1 1 2 1 0 1
F 16 1 1 2 1 6 1
M 15 0 5 2 1 10 1
M 15 0 4 2 1 8 1
M 16 0 4 4 1 2 2
M 15 0 4 3 1 2 1
M 16 0 4 2 1 0 1
M 17 1 2 4 1 20 4
M 15 0 4 3 1 6 2
F 15 0 2 3 1 2 2
M 15 0 5 4 1 6 2
F 16 0 2 2 1 2 2
M 16 0 4 4 1 18 4
F 16 0 4 4 1 0 1
M 15 0 5 5 3 0 2
F 15 0 3 2 1 0 1
F 19 3 4 2 1 2 1
M 18 2 3 3 1 0 2
M 16 0 5 5 2 8 5
F 15 2 2 2 2 0 2
F 15 0 3 3 1 0 2
F 17 0 4 4 1 12 3
F 16 0 2 1 1 16 4
M 15 0 3 3 1 0 1
F 15 0 3 3 1 0 1
M 17 0 4 5 2 0 4
F 16 2 3 2 1 0 1
M 16 1 4 4 1 0 3
F 15 0 3 2 1 0 1
M 15 0 2 2 1 0 1
M 16 2 3 3 2 8 2
F 15 0 2 2 1 2 1
F 16 0 4 4 3 2 3
M 17 3 4 5 1 0 2
F 15 0 4 2 1 0 2
F 15 3 3 2 1 0 1
F 15 0 3 2 1 2 1
M 16 0 3 2 2 0 1
M 15 3 5 5 2 0 5
M 18 3 3 5 2 0 5
M 16 1 4 4 3 6 5
F 15 2 2 1 2 8 3
M 19 3 5 4 1 0 1
F 17 0 2 1 1 0 1
M 15 0 4 4 1 2 1
M 17 0 2 2 3 8 3
F 18 3 2 5 1 6 5
M 16 0 2 2 1 2 2
M 16 1 5 5 4 4 4
M 17 2 3 2 2 0 2
M 15 2 4 4 1 6 4
M 16 1 4 4 2 0 4
M 17 0 3 3 1 2 4
M 17 3 3 5 1 0 5
M 16 1 5 2 1 16 1
M 16 0 3 5 2 4 4
F 16 0 2 3 1 0 1
F 16 0 1 5 1 0 1
F 16 0 4 2 1 0 1
M 16 2 4 5 2 0 4
M 16 0 3 2 1 2 1
M 17 0 4 4 1 0 3
F 16 3 3 5 1 0 1
F 16 0 4 5 1 4 1
M 17 0 4 4 4 4 4
F 16 0 4 4 1 2 4
M 17 0 3 4 1 4 4
M 16 0 3 3 3 10 4
M 17 0 2 3 1 4 1
M 16 0 4 3 2 10 3
M 16 0 2 3 1 2 2
F 17 0 4 2 2 0 3
F 17 0 3 3 2 56 3
F 16 0 2 2 1 14 2
M 17 0 3 4 2 12 3
M 16 0 3 3 1 2 2
M 16 0 2 3 1 0 2
F 17 0 3 3 1 6 3
M 17 0 1 3 1 4 5
F 16 0 3 3 1 10 1
F 17 0 3 3 1 0 1
M 17 0 4 4 4 12 5
M 16 0 3 2 3 8 4
M 16 0 3 3 1 0 1
F 17 0 3 2 1 0 1
M 17 0 2 3 1 4 2
M 16 0 3 4 3 8 5
F 17 1 2 4 2 24 3
F 16 0 5 2 1 0 2
F 16 0 3 5 1 2 5
F 16 0 4 3 1 6 3
F 17 0 4 4 1 4 3
F 17 0 3 2 1 18 2
F 16 0 3 5 1 6 1
F 17 1 4 3 3 28 4
F 16 3 3 3 2 5 2
F 16 0 3 2 1 10 1
F 16 0 3 2 1 6 4
F 17 0 4 2 1 6 1
F 19 0 3 3 1 10 2
M 17 0 3 5 4 13 5
F 16 0 3 4 1 0 1
M 18 1 4 4 2 15 4
F 17 0 2 1 1 12 2
F 17 0 4 4 1 2 3
F 17 2 4 5 2 22 4
M 18 1 2 4 2 13 4
F 17 0 3 3 1 3 4
F 17 0 3 3 1 4 1
F 17 0 2 5 1 2 2
F 17 1 3 4 1 0 1
F 16 0 3 1 1 2 1
M 18 0 3 3 5 0 5
F 16 0 3 2 1 0 1
F 18 1 3 3 1 16 1
F 17 0 3 4 1 10 3
M 17 0 3 3 1 2 3
M 18 0 3 2 4 14 5
F 17 0 2 3 1 10 2
F 17 0 2 3 1 14 2
M 17 0 5 2 1 4 1
M 17 0 5 5 1 14 3
M 16 0 2 4 2 2 4
M 16 0 4 2 1 18 1
M 16 0 3 3 1 10 3
M 17 0 4 2 5 4 5
F 16 0 5 2 1 20 1
F 17 0 1 1 1 2 1
M 18 1 5 4 3 0 5
M 17 0 5 5 1 14 4
M 17 0 3 3 2 2 3
M 16 0 4 5 1 0 1
M 16 0 3 2 1 0 2
F 18 0 4 4 1 0 1
M 16 0 3 3 1 6 1
M 17 0 2 2 1 4 1
M 22 3 4 5 5 16 5
M 18 1 3 3 1 8 3
M 16 0 3 2 2 0 4
M 18 1 4 5 2 0 4
M 16 0 3 3 1 6 3
M 18 1 2 5 2 4 5
M 16 0 3 2 1 0 3
M 17 0 4 2 2 0 4
M 17 1 4 4 1 2 2
F 17 0 2 3 1 6 1
M 19 0 3 1 1 12 1
M 18 0 2 4 1 8 2
F 17 0 4 1 1 0 1
F 18 0 1 2 1 21 3
M 18 0 3 2 1 2 1
M 18 0 3 2 1 1 1
F 17 0 2 3 1 4 1
F 18 0 3 3 1 0 1
M 18 0 2 5 3 13 4
M 17 0 4 4 3 2 4
F 18 0 3 4 2 8 2
M 18 0 4 5 1 10 3
F 18 0 3 5 1 0 2
F 19 2 3 5 3 15 3
F 18 0 5 5 1 4 3
F 18 0 4 3 1 2 1
M 17 0 5 2 2 2 2
F 17 0 3 3 1 2 1
F 17 0 4 4 2 6 3
F 18 0 1 1 1 75 1
M 18 0 2 4 1 22 4
F 18 1 4 4 1 15 1
M 18 0 2 3 1 8 2
M 17 0 5 4 2 30 4
M 17 1 4 4 3 19 4
F 18 0 2 2 1 1 1
F 18 0 4 4 1 4 1
F 17 0 4 5 1 4 2
M 17 0 3 3 1 2 2
F 18 0 3 3 1 5 2
F 17 0 3 3 1 6 1
M 18 0 2 4 1 6 3
M 18 0 4 3 1 9 1
M 18 0 3 2 1 11 4
F 17 0 2 2 1 0 2
F 18 1 4 3 1 12 1
F 17 0 1 2 1 6 1
M 18 0 4 2 1 8 1
M 17 0 4 3 1 4 3
F 19 0 3 4 2 0 3
F 18 0 4 5 1 10 2
F 18 0 3 3 1 0 1
M 18 0 4 2 2 5 2
F 18 0 2 4 1 14 1
M 17 0 1 1 2 0 2
F 17 0 3 3 1 0 1
F 17 0 2 2 1 0 2
M 19 1 4 4 1 20 1
F 18 1 4 3 1 8 1
M 20 0 5 3 1 0 1
M 19 1 3 4 1 38 1
M 19 1 5 3 1 0 2
F 19 1 4 3 1 18 3
F 19 1 2 4 2 0 2
F 19 0 4 1 1 20 1
M 19 1 5 2 2 3 2
F 19 1 2 2 1 22 2
F 19 2 1 2 1 14 1
F 19 1 1 2 1 40 1
F 18 0 3 3 1 0 2
F 18 0 3 4 1 9 1
F 17 0 3 4 2 0 5
F 18 0 4 4 3 2 3
F 17 0 2 2 1 23 2
F 17 0 2 2 1 12 1
F 17 0 3 2 2 3 2
F 17 0 4 3 2 1 3
F 17 0 3 3 2 0 3
M 18 0 3 3 2 3 2
M 17 0 3 5 3 3 5
M 17 0 4 5 5 8 5
F 17 0 4 4 1 7 3
F 17 0 3 3 1 4 2
M 18 0 5 5 2 2 4
F 17 0 4 3 1 7 1
F 18 0 3 4 1 0 1
F 18 0 3 3 1 0 1
F 18 0 4 4 1 0 1
F 17 0 4 5 1 16 3
F 19 1 4 3 1 12 2
F 17 0 3 2 2 0 3
F 18 0 3 3 1 7 1
F 17 0 3 3 2 4 3
F 19 1 3 4 1 4 3
M 18 1 3 3 2 0 2
M 18 0 3 3 1 11 3
F 17 1 3 1 1 0 2
F 18 0 3 3 1 4 2
F 18 0 4 3 2 7 3
M 18 0 3 2 1 9 2
M 18 0 4 5 2 0 3
F 17 0 4 3 1 0 3
M 18 1 5 5 5 10 5
M 19 3 4 4 3 8 3
M 17 0 5 4 2 2 3
M 18 1 3 3 2 7 3
M 19 1 4 4 3 4 3
M 17 0 5 5 1 4 3
F 18 0 3 4 1 0 1
F 17 0 3 3 1 4 2
F 17 0 2 3 1 2 2
M 18 0 3 2 1 4 2
F 18 0 3 2 1 0 1
F 18 0 3 4 1 0 4
M 18 1 4 3 2 2 3
F 18 0 3 2 1 0 3
F 17 0 3 4 1 0 1
F 17 0 2 2 1 0 2
M 18 0 3 4 2 4 4
M 18 0 2 2 2 0 2
F 17 1 2 1 1 0 2
F 18 0 2 3 1 0 2
F 18 0 2 2 4 10 2
F 19 2 2 2 1 4 1
M 18 0 3 3 2 3 3
F 17 0 4 3 1 8 1
F 17 0 5 5 1 14 3
F 18 0 4 4 1 0 1
F 18 0 3 2 1 2 2
F 20 2 4 3 1 4 1
F 18 0 4 3 3 4 4
F 18 0 1 3 1 0 2
F 17 0 5 4 2 17 3
M 18 0 2 4 1 4 4
M 18 0 4 3 1 5 3
M 17 0 4 3 1 2 1
M 19 1 3 2 1 0 3
M 18 1 4 3 4 14 3
F 18 0 3 3 1 2 3
