animal, hair, feathers, eggs, milk, airborne, aquatic, predator, toothed, backbone, breathes, venomous, fins, legs, tail, domestic, catsize, type
1 0 0 1 0 0 1 1 1 1 0 0 4 0 0 1 1 aardvark
1 0 0 1 0 0 0 1 1 1 0 0 4 1 0 1 1 antelope
0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 0 4 bass
1 0 0 1 0 0 1 1 1 1 0 0 4 0 0 1 1 bear
1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 1 1 boar
1 0 0 1 0 0 0 1 1 1 0 0 4 1 0 1 1 buffalo
1 0 0 1 0 0 0 1 1 1 0 0 4 1 1 1 1 calf
0 0 1 0 0 1 0 1 1 0 0 1 0 1 1 0 4 carp
0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 0 4 catfish
1 0 0 1 0 0 0 1 1 1 0 0 4 0 1 0 1 cavy
1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 1 1 cheetah
0 1 1 0 1 0 0 0 1 1 0 0 2 1 1 0 2 chicken
0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 0 4 chub
0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 7 clam
0 0 1 0 0 1 1 0 0 0 0 0 4 0 0 0 7 crab
0 0 1 0 0 1 1 0 0 0 0 0 6 0 0 0 7 crayfish
0 1 1 0 1 0 1 0 1 1 0 0 2 1 0 0 2 crow
1 0 0 1 0 0 0 1 1 1 0 0 4 1 0 1 1 deer
0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 1 4 dogfish
0 0 0 1 0 1 1 1 1 1 0 1 0 1 0 1 1 dolphin
0 1 1 0 1 0 0 0 1 1 0 0 2 1 1 0 2 dove
0 1 1 0 1 1 0 0 1 1 0 0 2 1 0 0 2 duck
1 0 0 1 0 0 0 1 1 1 0 0 4 1 0 1 1 elephant
0 1 1 0 1 0 0 0 1 1 0 0 2 1 0 1 2 flamingo
0 0 1 0 0 0 0 0 0 1 0 0 6 0 0 0 6 flea
0 0 1 0 0 1 1 1 1 1 0 0 4 0 0 0 5 frog
0 0 1 0 0 1 1 1 1 1 1 0 4 0 0 0 5 frog
1 0 0 1 1 0 0 1 1 1 0 0 2 1 0 0 1 fruitbat
1 0 0 1 0 0 0 1 1 1 0 0 4 1 0 1 1 giraffe
1 0 0 1 0 0 1 1 1 1 0 0 2 0 1 1 1 girl
0 0 1 0 1 0 0 0 0 1 0 0 6 0 0 0 6 gnat
1 0 0 1 0 0 0 1 1 1 0 0 4 1 1 1 1 goat
1 0 0 1 0 0 0 1 1 1 0 0 2 0 0 1 1 gorilla
0 1 1 0 1 1 1 0 1 1 0 0 2 1 0 0 2 gull
0 0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 4 haddock
1 0 0 1 0 0 0 1 1 1 0 0 4 1 1 0 1 hamster
1 0 0 1 0 0 0 1 1 1 0 0 4 1 0 0 1 hare
0 1 1 0 1 0 1 0 1 1 0 0 2 1 0 0 2 hawk
0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 0 4 herring
1 0 1 0 1 0 0 0 0 1 1 0 6 0 1 0 6 honeybee
1 0 1 0 1 0 0 0 0 1 0 0 6 0 0 0 6 housefly
0 1 1 0 0 0 1 0 1 1 0 0 2 1 0 0 2 kiwi
